text,lemmas,sent_len,punct_count,char_count,text_density,sw_count,cased_count,polarity,PRON,VERB,ADV,ADP,NOUN,ADJ,DET,CONJ,PRT,NUM,.,X
What can I do to track the card you sent me?,that can I do to track the card you send I,11,1,44,3.6666666666666665,7,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why hasnt my card come in yet?,why have not my card come in yet,7,1,30,3.75,3,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How can I periodically check the delivery of the card you sent?,now can I periodically check the delivery of the card you send,12,1,63,4.846153846153846,7,1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
What's the reason my new card hasn't come?,that be the reason my new card have not come,8,3,42,4.666666666666667,3,0,0.13636363636363635,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
How long does it take for me to get my new card?,now long do it take for I to get my new card,12,1,48,3.6923076923076925,7,0,0.043181818181818175,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I don't have my card after 1 week. What are my next steps?,I do not have my card after week that be my next step,13,3,58,4.142857142857143,8,1,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I know I'm getting a new card but would like know when I can expect to receive it.,I know I be get a new card but would like know when I can expect to receive it,18,2,82,4.315789473684211,7,2,0.13636363636363635,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I want to find out what happened to my new card?,I want to find out what happen to my new card,11,1,48,4.0,6,1,0.13636363636363635,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Was there a way for me to get tracking for that?,be there a way for I to get crack for that,11,1,48,4.0,7,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
I am still waiting for my card.,I be still wait for my card,7,1,31,3.875,4,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My card hasn't arrived.,by card have not arrive,4,2,23,4.6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can I track the card you sent to me?,an I track the card you send to I,9,1,36,3.6,5,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I haven't gotten my new card.,I have not get my new card,6,2,29,4.142857142857143,3,1,0.13636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,now long should it take for my new card to arrive in they mail that should I do if I never receive it,23,2,103,4.291666666666667,14,2,0.043181818181818175,5.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will I have to wait much longer for my new card to arrive?,will I have to wait much long for my new card to arrive,13,1,58,4.142857142857143,7,1,0.16818181818181818,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
how to track the card you sent,how to track the card you send,7,0,30,3.75,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,week ago I order my new card it be not here that should I do,15,4,69,4.3125,7,2,0.13636363636363635,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How can I check on the delivery status of my card?,now can I check on the delivery status of my card,11,1,50,4.166666666666667,7,1,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"My card has not been delivered yet and its been a week since I ordered it, please help",by card have not be deliver yet and its be a week since I order it please help,18,1,86,4.526315789473684,9,1,0.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What's the expected wait time to recieve my new card?,that be the expect wait time to receive my new card,10,2,53,4.818181818181818,3,0,0.018181818181818174,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
How can I see the progress of delivery of the card that was sent?,now can I see the progress of delivery of the card that be send,14,1,65,4.333333333333333,9,1,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"My card was supposed to arrive, but hasn't?",by card be suppose to arrive but have not,8,3,43,4.777777777777778,4,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I ordered a card and would like to know how to track the delivery progress of it.,I order a card and would like to know how to track the delivery progress of it,17,1,81,4.5,8,1,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
How long will it take for me to get my card?,now long will it take for I to get my card,11,1,44,3.6666666666666665,7,0,-0.05,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My card hasn't shown up yet.,by card have not show up yet,6,2,28,4.0,3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does the card you sent have a tracking number?,do the card you send have a crack number,9,1,46,4.6,5,0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,by card have not arrive in the mail yet I order it two week ago that can I do,18,4,82,4.315789473684211,9,2,0.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
maximum how many days get the courier?,maximum how many day get the courier,7,1,38,4.75,2,0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a reason my new card hasn't arrived yet?,be there a reason my new card have not arrive yet,10,2,49,4.454545454545454,5,0,0.13636363636363635,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"I've been waiting a while for my card, is there a way to know when it will arrive?",I have be wait a while for my card be there a way to know when it will arrive,18,3,82,4.315789473684211,12,0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
How can I track my card's delivery?,now can I track my card 's delivery,7,2,35,4.375,4,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can I track the card that was just sent to me?,an I track the card that be just send to I,11,1,46,3.8333333333333335,7,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"If I ordered my new card last week, how much longer should I wait to receive it?",of I order my new card last week how much long should I wait to receive it,17,2,80,4.444444444444445,7,2,0.11212121212121212,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"What's go on, where is my new card?",that be go on where be my new card,8,3,35,3.888888888888889,3,0,0.13636363636363635,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is my new card if I haven't received it yet?,there be my new card if I have not receive it yet,11,2,50,4.166666666666667,7,1,0.13636363636363635,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is my card?,there be my card,4,1,17,3.4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can you tell me why I haven't received my new card yet?,an you tell I why I have not receive my new card yet,12,2,55,4.230769230769231,7,1,0.13636363636363635,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a way to track my card?,be there a way to track my card,8,1,32,3.5555555555555554,5,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Is there a way to track the new card you sent me?,be there a way to track the new card you send I,12,1,49,3.769230769230769,6,0,0.13636363636363635,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
I'm still waiting for my card.,I be still wait for my card,6,2,30,4.285714285714286,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What do I need to do to get my new card which I have requested 2 weeks ago?,that do I need to do to get my new card which I have request week ago,18,1,75,3.9473684210526314,10,2,0.13636363636363635,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
WHAT IS THE SOLUTION OF THIS PROBLEM,what of the solution of this problem,7,0,36,4.5,5,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Could I get tracking on the card?,would I get crack on the card,7,1,33,4.125,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can you help me track my card?,an you help I track my card,7,1,30,3.75,4,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shouldn't my new card be here by now?,should not my new card be here by now,8,2,37,4.111111111111111,5,0,0.13636363636363635,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a reason my new card hasn't arrived?,be there a reason my new card have not arrive,9,2,45,4.5,5,0,0.13636363636363635,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"I would like to track a card sent to me, how do I do that?",I would like to track a card send to I how do I do that,15,2,58,3.625,8,2,0.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Is there a tracking number for the card?,be there a crack number for the card,8,1,40,4.444444444444445,5,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
can you share card tracking number?,can you share card crack number,6,1,35,5.0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I have not received my card and it's been a week, what do I do?",I have not receive my card and it be be a week what do I do,15,3,63,3.9375,11,2,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a way I can check on the card on route to me?,be there a way I can check on the card on route to I,14,1,54,3.6,9,1,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
When will my new card arrive?,when will my new card arrive,6,1,29,4.142857142857143,3,0,0.13636363636363635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why haven't I received my new card yet?,why have not I receive my new card yet,8,2,39,4.333333333333333,4,1,0.13636363636363635,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the expected delivery date of my card?,that be the expect delivery date of my card,9,1,46,4.6,5,0,-0.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
My card hasn't came in the mail yet?,by card have not come in the mail yet,8,2,36,4.0,4,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I haven't received my card.,I have not receive my card,5,2,27,4.5,3,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is it possible for me to track the card is was mailed to me?,be it possible for I to track the card be be fail to I,14,1,60,4.0,9,0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
When will my new card be delivered?,when will my new card be deliver,7,1,35,4.375,4,0,0.13636363636363635,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I was issued a card about a week ago. why hasn't it come in yet?,I be issue a card about a week ago why have not it come in yet,15,3,64,4.0,9,1,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Can you please tell me where my card is? I ordered it 2 weeks ago!,an you please tell I where my card be I order it week ago,15,2,66,4.125,7,1,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I still haven't received my card in the mail,I still have not receive my card in the mail,9,1,44,4.4,5,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm still waiting for my card that was issued a week ago. What should I do?,I be still wait for my card that be issue a week ago that should I do,16,3,75,4.411764705882353,8,1,0.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I still haven't gotten my new card.  When will it get here?,I still have not get my new card when will it get here,12,3,59,4.538461538461538,6,1,0.13636363636363635,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Do you have a tracking number for the card I was sent?,to you have a crack number for the card I be send,12,1,54,4.153846153846154,8,1,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
How do I track the card you sent to me?,now do I track the card you send to I,10,1,39,3.5454545454545454,6,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is my new bank card on the way and is there a way to track it?,be my new bank card on the way and be there a way to track it,16,1,62,3.6470588235294117,9,0,0.13636363636363635,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Could you send me and up date on the arrival of my card?,would you send I and up date on the arrival of my card,13,1,56,4.0,8,0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How long does it take to recieve my new card?,now long do it take to receive my new card,10,1,45,4.090909090909091,5,0,0.043181818181818175,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My card has not come in the mail yet.,by card have not come in the mail yet,9,1,37,3.7,5,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What's the card you sent me's tracking number?,that be the card you send I 's crack number,8,3,46,5.111111111111111,2,0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i havent got my card,I have not get my card,5,0,20,3.3333333333333335,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why hasn't my card arrived yet?,why have not my card arrive yet,6,2,31,4.428571428571429,3,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I thought I would have received my new card at this point.,I think I would have receive my new card at this point,12,1,58,4.461538461538462,6,2,0.13636363636363635,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How long until my new card gets here?,now long until my new card get here,8,1,37,4.111111111111111,3,0,0.043181818181818175,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How much longer until I get my new card?,now much long until I get my new card,9,1,40,4.0,4,1,0.16818181818181818,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am I able to track a card that has already been sent?,be I able to track a card that have already be send,12,1,53,4.076923076923077,7,1,0.5,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Is it possible to track the card you sent me?,be it possible to track the card you send I,10,1,45,4.090909090909091,5,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How long will it be to get this new card?,now long will it be to get this new card,10,1,41,3.727272727272727,6,0,0.043181818181818175,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how can i track card you sent,how can I track card you send,7,0,29,3.625,4,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can the card was sen to me be tracked?,an the card be man to I be trace,9,1,38,3.8,6,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
why have i not got my new card?,why have I not get my new card,8,1,31,3.4444444444444446,5,0,0.13636363636363635,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I need to track the card sent to me.,I need to track the card send to I,9,1,36,3.6,4,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It's been two weeks and I haven't gotten my card, what do I do?",it be be two week and I have not get my card what do I do,14,4,63,4.2,9,2,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I was expecting my new card by now.,I be expect my new card by now,8,1,35,3.888888888888889,4,1,0.13636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is the tracking number for the card?,there be the crack number for the card,8,1,42,4.666666666666667,5,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,I be issue a new card a week ago but still have not receive it now long will it be until I receive it,23,3,105,4.375,12,2,0.043181818181818175,4.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Can I track the card that you sent me in the mail?,an I track the card that you send I in the mail,12,1,50,3.8461538461538463,8,1,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
